#{"t_start": 1783350907.7420318, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.310524
11.0,11,1.313694
9.0,9,1.316286
9.0,9,1.31829
9.0,9,1.319833
10.0,10,1.322826
9.0,9,1.324801
10.0,10,1.326404
11.0,11,1.328607
10.0,10,1.33161
10.0,10,1.334047
9.0,9,1.335614
10.0,10,1.337656
11.0,11,1.340623
9.0,9,1.342558
9.0,9,1.344081
10.0,10,1.345748
9.0,9,1.349108
8.0,8,1.350622
10.0,10,1.352236
10.0,10,1.354206
11.0,11,1.357186
11.0,11,1.359353
10.0,10,1.361399
9.0,9,1.36297
11.0,11,1.366667
11.0,11,1.368422
12.0,12,1.370506
11.0,11,1.372616
12.0,12,1.375979
9.0,9,1.377494
11.0,11,1.379651
9.0,9,1.381231
10.0,10,1.385099
10.0,10,1.386764
10.0,10,1.388809
10.0,10,1.390394
9.0,9,1.393568
9.0,9,1.395092
10.0,10,1.396664
10.0,10,1.399196
11.0,11,1.402828
11.0,11,1.404548
11.0,11,1.406598
11.0,11,1.408631
9.0,9,1.411271
8.0,8,1.412711
9.0,9,1.414194
10.0,10,1.416471
10.0,10,1.4193
9.0,9,1.422039
9.0,9,1.423573
9.0,9,1.424932
10.0,10,1.428051
10.0,10,1.429627
10.0,10,1.431626
8.0,8,1.433314
9.0,9,1.436078
9.0,9,1.43755
9.0,9,1.439032
8.0,8,1.440487
9.0,9,1.443505
9.0,9,1.445028
8.0,8,1.446396
8.0,8,1.44788
8.0,8,1.450691
10.0,10,1.452295
8.0,8,1.453734
10.0,10,1.455732
11.0,11,1.458817
8.0,8,1.460221
10.0,10,1.461813
8.0,8,1.463277
10.0,10,1.466621
8.0,8,1.468095
9.0,9,1.469614
10.0,10,1.471205
8.0,8,1.473834
10.0,10,1.475782
10.0,10,1.477297
8.0,8,1.478774
9.0,9,1.481757
9.0,9,1.483403
9.0,9,1.484904
8.0,8,1.486325
10.0,10,1.489448
10.0,10,1.490961
10.0,10,1.492923
10.0,10,1.494419
11.0,11,1.497485
13.0,13,1.499866
9.0,9,1.501415
10.0,10,1.503414
8.0,8,1.506064
10.0,10,1.507609
10.0,10,1.509531
11.0,11,1.511596
9.0,9,1.514125
12.0,12,1.516421
10.0,10,1.518086
10.0,10,1.51999
10.0,10,1.522763
9.0,9,1.524686
8.0,8,1.526096
11.0,11,1.528391
10.0,10,1.531507
11.0,11,1.533738
8.0,8,1.535192
10.0,10,1.536697
12.0,12,1.540124
10.0,10,1.542079
9.0,9,1.543576
9.0,9,1.545092
9.0,9,1.547779
8.0,8,1.549285
10.0,10,1.551201
9.0,9,1.552827
10.0,10,1.55601
9.0,9,1.55749
10.0,10,1.559122
10.0,10,1.561057
8.0,8,1.563718
10.0,10,1.565452
10.0,10,1.56742
11.0,11,1.569508
10.0,10,1.572279
10.0,10,1.574213
10.0,10,1.575798
9.0,9,1.577274
9.0,9,1.580378
10.0,10,1.582122
9.0,9,1.583658
8.0,8,1.585102
9.0,9,1.588204
9.0,9,1.589687
10.0,10,1.591206
9.0,9,1.593138
8.0,8,1.595703
10.0,10,1.59721
11.0,11,1.599378
9.0,9,1.600889
10.0,10,1.604049
9.0,9,1.605539
9.0,9,1.607006
10.0,10,1.608927
8.0,8,1.611357
8.0,8,1.612735
9.0,9,1.614174
11.0,11,1.616375
9.0,9,1.619102
9.0,9,1.620576
10.0,10,1.622548
8.0,8,1.623895
10.0,10,1.626537
8.0,8,1.627934
9.0,9,1.629396
10.0,10,1.668462
10.0,10,1.671864
10.0,10,1.674023
10.0,10,1.675731
9.0,9,1.677748
9.0,9,1.680386
9.0,9,1.682096
10.0,10,1.684234
11.0,11,1.685928
10.0,10,1.689278
10.0,10,1.690804
11.0,11,1.692846
10.0,10,1.69479
9.0,9,1.697521
9.0,9,1.69943
12.0,12,1.701615
9.0,9,1.703248
10.0,10,1.706474
11.0,11,1.7085
10.0,10,1.710045
9.0,9,1.711527
12.0,12,1.714808
8.0,8,1.716366
9.0,9,1.718301
10.0,10,1.719826
9.0,9,1.722457
9.0,9,1.724313
10.0,10,1.72587
10.0,10,1.727869
10.0,10,1.730701
10.0,10,1.732866
11.0,11,1.734484
9.0,9,1.736408
10.0,10,1.73991
11.0,11,1.741859
10.0,10,1.743493
9.0,9,1.745407
9.0,9,1.748031
10.0,10,1.749753
9.0,9,1.751693
9.0,9,1.75315
