#{"t_start": 1783350907.7420318, "env_id": "CartPole-v1"}
r,l,t
10.0,10,3.392095
9.0,9,3.395049
9.0,9,3.396568
10.0,10,3.398136
12.0,12,3.400462
12.0,12,3.404415
10.0,10,3.406358
10.0,10,3.407936
10.0,10,3.409861
9.0,9,3.412484
9.0,9,3.414017
9.0,9,3.416256
10.0,10,3.417896
11.0,11,3.42115
9.0,9,3.42262
10.0,10,3.424525
9.0,9,3.426095
10.0,10,3.428731
9.0,9,3.430603
9.0,9,3.432283
10.0,10,3.433955
9.0,9,3.437008
11.0,11,3.438668
11.0,11,3.440731
8.0,8,3.442143
9.0,9,3.444632
9.0,9,3.446454
9.0,9,3.447915
8.0,8,3.449531
9.0,9,3.452128
9.0,9,3.45363
10.0,10,3.455533
10.0,10,3.457103
9.0,9,3.460048
9.0,9,3.461507
10.0,10,3.463064
10.0,10,3.46504
9.0,9,3.467858
9.0,9,3.469321
8.0,8,3.470772
9.0,9,3.472653
12.0,12,3.475781
8.0,8,3.477191
9.0,9,3.478671
8.0,8,3.480134
8.0,8,3.482781
10.0,10,3.484325
10.0,10,3.486237
10.0,10,3.487809
9.0,9,3.490753
9.0,9,3.492164
9.0,9,3.493628
9.0,9,3.495186
9.0,9,3.498234
8.0,8,3.499818
9.0,9,3.501324
10.0,10,3.502873
12.0,12,3.506115
9.0,9,3.508659
9.0,9,3.510144
9.0,9,3.511603
9.0,9,3.514095
10.0,10,3.516226
9.0,9,3.51768
9.0,9,3.519162
11.0,11,3.522277
11.0,11,3.5242
9.0,9,3.52567
9.0,9,3.527172
10.0,10,3.530336
10.0,10,3.532009
9.0,9,3.533966
11.0,11,3.535524
9.0,9,3.538464
10.0,10,3.540038
10.0,10,3.541999
9.0,9,3.543539
9.0,9,3.546189
9.0,9,3.547637
10.0,10,3.549788
10.0,10,3.551355
10.0,10,3.554472
9.0,9,3.555991
10.0,10,3.557891
10.0,10,3.559494
11.0,11,3.56283
10.0,10,3.564378
10.0,10,3.566514
9.0,9,3.567989
9.0,9,3.570702
9.0,9,3.572555
11.0,11,3.574139
10.0,10,3.576051
9.0,9,3.578628
10.0,10,3.580658
8.0,8,3.582175
9.0,9,3.583749
11.0,11,3.586836
10.0,10,3.588364
9.0,9,3.589824
9.0,9,3.591739
9.0,9,3.594372
10.0,10,3.595893
8.0,8,3.597278
10.0,10,3.599378
11.0,11,3.602666
9.0,9,3.60415
10.0,10,3.605757
10.0,10,3.607733
10.0,10,3.61041
10.0,10,3.612352
8.0,8,3.614492
10.0,10,3.616323
8.0,8,3.618997
9.0,9,3.620868
10.0,10,3.622408
10.0,10,3.624446
11.0,11,3.627202
10.0,10,3.629138
9.0,9,3.630597
10.0,10,3.63276
9.0,9,3.635499
10.0,10,3.637053
8.0,8,3.638425
8.0,8,3.639797
9.0,9,3.642757
8.0,8,3.64414
9.0,9,3.645657
9.0,9,3.647154
14.0,14,3.650864
9.0,9,3.652345
10.0,10,3.653902
10.0,10,3.655853
9.0,9,3.658514
10.0,10,3.660458
11.0,11,3.662106
9.0,9,3.66398
10.0,10,3.666793
10.0,10,3.668801
10.0,10,3.670343
10.0,10,3.672405
8.0,8,3.675045
9.0,9,3.676548
10.0,10,3.678097
9.0,9,3.680022
9.0,9,3.682891
9.0,9,3.684362
10.0,10,3.686385
10.0,10,3.687963
10.0,10,3.691192
8.0,8,3.692561
8.0,8,3.693979
10.0,10,3.695522
9.0,9,3.698149
10.0,10,3.700224
11.0,11,3.702184
11.0,11,3.70377
9.0,9,3.706882
10.0,10,3.708399
10.0,10,3.710311
9.0,9,3.711809
12.0,12,3.714963
9.0,9,3.716648
9.0,9,3.71817
9.0,9,3.720802
9.0,9,3.723436
10.0,10,3.725004
10.0,10,3.726946
10.0,10,3.728452
9.0,9,3.73153
8.0,8,3.733426
9.0,9,3.735026
10.0,10,3.736601
11.0,11,3.739904
9.0,9,3.741444
10.0,10,3.743781
10.0,10,3.74546
8.0,8,3.74824
8.0,8,3.749976
8.0,8,3.751475
12.0,12,3.753547
9.0,9,3.7569
9.0,9,3.75834
10.0,10,3.759906
12.0,12,3.762148
9.0,9,3.765697
8.0,8,3.767233
8.0,8,3.768717
9.0,9,3.770226
12.0,12,3.773572
9.0,9,3.77503
10.0,10,3.776959
9.0,9,3.778446
10.0,10,3.781174
9.0,9,3.783207
10.0,10,3.784769
11.0,11,3.786798
10.0,10,3.7896
11.0,11,3.791635
10.0,10,3.793615
10.0,10,3.795189
9.0,9,3.797827
10.0,10,3.799928
9.0,9,3.801425
10.0,10,3.80346
10.0,10,3.806222
10.0,10,3.808253
10.0,10,3.809859
9.0,9,3.811381
9.0,9,3.814711
11.0,11,3.817417
11.0,11,3.819535
8.0,8,3.820967
9.0,9,3.824773
10.0,10,3.82695
10.0,10,3.828572
10.0,10,3.830576
9.0,9,3.833733
10.0,10,3.835678
10.0,10,3.837331
9.0,9,3.840879
11.0,11,3.845013
8.0,8,3.846477
9.0,9,3.848136
9.0,9,3.850113
11.0,11,3.853149
10.0,10,3.855206
9.0,9,3.856697
10.0,10,3.858696
10.0,10,3.861372
10.0,10,3.863307
10.0,10,3.86484
9.0,9,3.866562
11.0,11,3.869874
9.0,9,3.871342
10.0,10,3.873354
9.0,9,3.874818
9.0,9,3.877431
10.0,10,3.879398
9.0,9,3.880905
10.0,10,3.883
10.0,10,3.885789
10.0,10,3.887755
9.0,9,3.889252
10.0,10,3.890823
8.0,8,3.893341
9.0,9,3.89515
11.0,11,3.896752
10.0,10,3.898936
9.0,9,3.901736
11.0,11,3.90366
10.0,10,3.90517
8.0,8,3.906615
10.0,10,3.909647
9.0,9,3.911099
8.0,8,3.912501
9.0,9,3.914025
13.0,13,3.918291
9.0,9,3.9198
11.0,11,3.921846
9.0,9,3.923303
12.0,12,3.927281
8.0,8,3.928731
10.0,10,3.930373
9.0,9,3.932368
9.0,9,3.935345
10.0,10,3.936915
10.0,10,3.938838
8.0,8,3.940326
9.0,9,3.942963
10.0,10,3.944939
8.0,8,3.946319
10.0,10,3.947973
11.0,11,3.951482
10.0,10,3.953025
10.0,10,3.955052
9.0,9,3.956511
9.0,9,3.959166
11.0,11,3.961199
10.0,10,3.96319
9.0,9,3.964746
9.0,9,3.96759
10.0,10,3.969501
9.0,9,3.971004
8.0,8,3.972529
12.0,12,3.975821
10.0,10,3.97737
10.0,10,3.979329
10.0,10,3.980762
9.0,9,3.983976
11.0,11,3.985572
10.0,10,3.98757
10.0,10,3.989117
10.0,10,3.992248
10.0,10,3.993821
10.0,10,3.995748
10.0,10,3.997338
8.0,8,4.000018
9.0,9,4.001895
9.0,9,4.003316
9.0,9,4.004798
8.0,8,4.007508
9.0,9,4.008998
10.0,10,4.010962
9.0,9,4.012456
9.0,9,4.015227
10.0,10,4.017342
9.0,9,4.018814
10.0,10,4.020763
8.0,8,4.023406
14.0,14,4.025523
10.0,10,4.027486
12.0,12,4.030239
9.0,9,4.033051
8.0,8,4.034491
8.0,8,4.035943
9.0,9,4.037398
8.0,8,4.039962
10.0,10,4.041858
9.0,9,4.043308
10.0,10,4.044931
10.0,10,4.048041
9.0,9,4.049598
9.0,9,4.051056
9.0,9,4.052997
11.0,11,4.055823
9.0,9,4.057765
10.0,10,4.059339
11.0,11,4.061372
11.0,11,4.064453
12.0,12,4.066679
9.0,9,4.068214
10.0,10,4.069683
9.0,9,4.072707
11.0,11,4.074294
11.0,11,4.076469
10.0,10,4.078541
9.0,9,4.081201
10.0,10,4.082827
9.0,9,4.084642
9.0,9,4.08604
12.0,12,4.089324
9.0,9,4.09079
9.0,9,4.092259
10.0,10,4.094247
9.0,9,4.097005
9.0,9,4.098666
10.0,10,4.100728
10.0,10,4.102342
8.0,8,4.10491
12.0,12,4.106945
8.0,8,4.108372
9.0,9,4.11024
10.0,10,4.112936
10.0,10,4.114895
8.0,8,4.11645
9.0,9,4.1181
10.0,10,4.120884
10.0,10,4.12278
10.0,10,4.12434
10.0,10,4.12628
9.0,9,4.129058
10.0,10,4.13099
9.0,9,4.133554
10.0,10,4.135185
9.0,9,4.13831
9.0,9,4.139826
8.0,8,4.14121
9.0,9,4.142744
10.0,10,4.145846
9.0,9,4.147309
10.0,10,4.149059
10.0,10,4.151097
9.0,9,4.153801
10.0,10,4.155784
10.0,10,4.15733
10.0,10,4.159302
9.0,9,4.161964
9.0,9,4.163467
9.0,9,4.165041
9.0,9,4.167044
9.0,9,4.169675
9.0,9,4.171162
9.0,9,4.172624
10.0,10,4.174623
8.0,8,4.177252
10.0,10,4.178802
9.0,9,4.180661
10.0,10,4.182522
9.0,9,4.185547
10.0,10,4.187526
10.0,10,4.18919
9.0,9,4.19111
12.0,12,4.194288
10.0,10,4.195853
9.0,9,4.197292
10.0,10,4.1994
11.0,11,4.202728
8.0,8,4.204181
9.0,9,4.205642
10.0,10,4.207229
10.0,10,4.210355
12.0,12,4.212383
9.0,9,4.213903
8.0,8,4.21542
10.0,10,4.218635
10.0,10,4.220151
10.0,10,4.222248
10.0,10,4.223906
9.0,9,4.226623
8.0,8,4.228029
10.0,10,4.229979
12.0,12,4.232183
10.0,10,4.235162
9.0,9,4.236982
10.0,10,4.239305
9.0,9,4.240815
10.0,10,4.243892
8.0,8,4.245319
10.0,10,4.246814
11.0,11,4.249095
9.0,9,4.251812
9.0,9,4.25368
11.0,11,4.25533
11.0,11,4.25734
9.0,9,4.260003
9.0,9,4.261818
10.0,10,4.263348
10.0,10,4.265437
9.0,9,4.268449
8.0,8,4.269892
12.0,12,4.271981
9.0,9,4.273578
10.0,10,4.276667
8.0,8,4.278064
13.0,13,4.280093
8.0,8,4.281647
9.0,9,4.284521
11.0,11,4.286508
12.0,12,4.288649
12.0,12,4.290727
9.0,9,4.293394
9.0,9,4.29488
12.0,12,4.2969
10.0,10,4.299171
9.0,9,4.301945
9.0,9,4.303413
10.0,10,4.305387
10.0,10,4.306968
10.0,10,4.310004
10.0,10,4.311501
9.0,9,4.313408
10.0,10,4.314958
12.0,12,4.318376
9.0,9,4.319866
8.0,8,4.321268
10.0,10,4.323316
9.0,9,4.326092
11.0,11,4.328171
10.0,10,4.32972
9.0,9,4.331611
12.0,12,4.335236
11.0,11,4.336854
9.0,9,4.339511
8.0,8,4.340963
9.0,9,4.343643
11.0,11,4.345772
9.0,9,4.347171
10.0,10,4.349341
9.0,9,4.354001
9.0,9,4.355522
10.0,10,4.357133
8.0,8,4.35858
10.0,10,4.361829
10.0,10,4.363381
11.0,11,4.365644
12.0,12,4.367762
11.0,11,4.37101
9.0,9,4.372455
9.0,9,4.373913
9.0,9,4.375786
9.0,9,4.378422
11.0,11,4.380399
8.0,8,4.382005
11.0,11,4.383719
10.0,10,4.386847
10.0,10,4.388431
10.0,10,4.390371
9.0,9,4.391936
10.0,10,4.395032
10.0,10,4.396592
10.0,10,4.398671
11.0,11,4.400357
11.0,11,4.40368
9.0,9,4.40513
10.0,10,4.407136
8.0,8,4.408649
11.0,11,4.41181
11.0,11,4.413466
10.0,10,4.415714
10.0,10,4.417436
9.0,9,4.420567
9.0,9,4.422116
9.0,9,4.4236
11.0,11,4.425606
10.0,10,4.428288
8.0,8,4.429674
9.0,9,4.431608
11.0,11,4.433841
10.0,10,4.437024
9.0,9,4.438505
11.0,11,4.441264
8.0,8,4.442767
12.0,12,4.446079
9.0,9,4.447643
10.0,10,4.449744
10.0,10,4.451327
10.0,10,4.454608
9.0,9,4.456147
10.0,10,4.457709
10.0,10,4.45971
10.0,10,4.462516
10.0,10,4.464401
10.0,10,4.466091
10.0,10,4.468167
12.0,12,4.471426
11.0,11,4.473463
11.0,11,4.475104
9.0,9,4.476936
11.0,11,4.479729
9.0,9,4.481634
10.0,10,4.483457
9.0,9,4.48503
10.0,10,4.488167
10.0,10,4.48973
9.0,9,4.491585
11.0,11,4.493203
10.0,10,4.496355
9.0,9,4.497806
10.0,10,4.499951
10.0,10,4.501551
10.0,10,4.50467
9.0,9,4.5061
11.0,11,4.508193
10.0,10,4.509777
9.0,9,4.512452
10.0,10,4.514413
13.0,13,4.516734
11.0,11,4.518767
9.0,9,4.521413
10.0,10,4.523409
10.0,10,4.52503
12.0,12,4.52705
9.0,9,4.529756
10.0,10,4.531902
8.0,8,4.53337
9.0,9,4.534851
10.0,10,4.537954
10.0,10,4.539495
10.0,10,4.541503
13.0,13,4.543684
12.0,12,4.547627
10.0,10,4.549337
11.0,11,4.551496
11.0,11,4.553498
9.0,9,4.556203
11.0,11,4.558247
11.0,11,4.560278
10.0,10,4.561839
12.0,12,4.565043
11.0,11,4.567212
9.0,9,4.568726
10.0,10,4.570724
11.0,11,4.573626
13.0,13,4.576179
9.0,9,4.57768
9.0,9,4.579219
9.0,9,4.581993
10.0,10,4.584083
10.0,10,4.585656
12.0,12,4.58771
9.0,9,4.590874
11.0,11,4.592447
9.0,9,4.594309
11.0,11,4.600519
10.0,10,4.609863
10.0,10,4.611954
10.0,10,4.61403
9.0,9,4.616299
11.0,11,4.625762
9.0,9,4.627324
9.0,9,4.628868
10.0,10,4.630804
11.0,11,4.634325
11.0,11,4.635943
10.0,10,4.63794
9.0,9,4.639445
11.0,11,4.642783
11.0,11,4.644789
10.0,10,4.646289
11.0,11,4.648468
11.0,11,4.65261
11.0,11,4.654256
10.0,10,4.656275
9.0,9,4.657725
16.0,16,4.661666
11.0,11,4.663699
8.0,8,4.66531
9.0,9,4.666835
11.0,11,4.670214
11.0,11,4.67229
9.0,9,4.673829
11.0,11,4.676035
9.0,9,4.679762
9.0,9,4.681451
9.0,9,4.683585
9.0,9,4.685596
10.0,10,4.689962
10.0,10,4.692065
10.0,10,4.693824
10.0,10,4.695796
11.0,11,4.698926
11.0,11,4.70148
10.0,10,4.703649
10.0,10,4.705329
11.0,11,4.709116
10.0,10,4.710762
11.0,11,4.712915
9.0,9,4.714496
10.0,10,4.718479
12.0,12,4.720942
9.0,9,4.722628
9.0,9,4.724098
10.0,10,4.72741
13.0,13,4.729667
10.0,10,4.73189
11.0,11,4.733657
10.0,10,4.736935
11.0,11,4.739003
9.0,9,4.740501
9.0,9,4.74206
11.0,11,4.745342
9.0,9,4.746878
8.0,8,4.748329
9.0,9,4.750041
9.0,9,4.753241
10.0,10,4.75477
11.0,11,4.757589
10.0,10,4.759149
10.0,10,4.762336
11.0,11,4.764387
11.0,11,4.766455
10.0,10,4.7685
11.0,11,4.772055
9.0,9,4.773563
12.0,12,4.775766
10.0,10,4.777374
9.0,9,4.780641
10.0,10,4.782525
10.0,10,4.784606
9.0,9,4.786149
11.0,11,4.789489
10.0,10,4.791127
9.0,9,4.792648
11.0,11,4.794751
11.0,11,4.798046
12.0,12,4.800392
10.0,10,4.802029
14.0,14,4.804643
10.0,10,4.807581
10.0,10,4.80958
8.0,8,4.811019
9.0,9,4.812598
9.0,9,4.815625
10.0,10,4.817826
9.0,9,4.819399
10.0,10,4.821414
9.0,9,4.824248
11.0,11,4.826214
9.0,9,4.827781
9.0,9,4.829272
11.0,11,4.832908
11.0,11,4.835026
9.0,9,4.836615
11.0,11,4.838674
10.0,10,4.841554
11.0,11,4.843679
10.0,10,4.845303
11.0,11,4.847379
9.0,9,4.850421
11.0,11,4.852537
8.0,8,4.853987
11.0,11,4.856053
9.0,9,4.858854
10.0,10,4.861783
11.0,11,4.863424
11.0,11,4.865826
11.0,11,4.86927
9.0,9,4.870731
11.0,11,4.872781
11.0,11,4.874927
9.0,9,4.877714
10.0,10,4.879293
12.0,12,4.881471
10.0,10,4.883918
12.0,12,4.887436
12.0,12,4.889575
10.0,10,4.891112
12.0,12,4.89314
9.0,9,4.896388
10.0,10,4.89795
10.0,10,4.900115
11.0,11,4.901842
11.0,11,4.905292
9.0,9,4.906912
9.0,9,4.908903
9.0,9,4.910432
10.0,10,4.913309
12.0,12,4.915883
10.0,10,4.918098
9.0,9,4.919586
10.0,10,4.922986
10.0,10,4.924639
12.0,12,4.926651
12.0,12,4.928838
